backend,attributes,run,prove_or_present_ms,verify_ms,proof_bytes,vp_bytes,peak_rss_mb,synthetic_from_summary
AnonCreds,4,1,93.70391308000299,81.36961065270117,18037.0,18037.0,285.35,True
AnonCreds,4,2,82.39801767092187,86.11842281330482,18037.0,18037.0,285.35,True
AnonCreds,4,3,83.42396845185522,84.48270529547662,18037.0,18037.0,285.35,True
AnonCreds,4,4,85.71912532375632,86.40228634203137,18037.0,18037.0,285.35,True
AnonCreds,4,5,85.8012637122533,87.62934635234119,18037.0,18037.0,285.35,True
AnonCreds,4,6,88.03375724470888,85.43640726164999,18037.0,18037.0,285.35,True
AnonCreds,4,7,92.68960240073213,89.4210628009653,18037.0,18037.0,285.35,True
AnonCreds,4,8,87.86135251654291,88.91178723656752,18037.0,18037.0,285.35,True
AnonCreds,4,9,85.02849299563233,86.67549627297497,18037.0,18037.0,285.35,True
AnonCreds,4,10,83.34120269500191,85.92445110078675,18037.0,18037.0,285.35,True
AnonCreds,4,11,80.59366823750126,81.25597672304922,18037.0,18037.0,285.35,True
AnonCreds,4,12,89.85389969450506,85.16434652272675,18037.0,18037.0,285.35,True
AnonCreds,4,13,91.7551952855338,88.10774458268172,18037.0,18037.0,285.35,True
AnonCreds,4,14,89.18049371439967,84.92040981443796,18037.0,18037.0,285.35,True
AnonCreds,4,15,81.7327816042267,87.32054856741424,18037.0,18037.0,285.35,True
AnonCreds,4,16,86.96929199488764,88.00243747418523,18037.0,18037.0,285.35,True
AnonCreds,4,17,95.92574209699083,84.34642567771911,18037.0,18037.0,285.35,True
AnonCreds,4,18,85.43227959412984,86.85506545601524,18037.0,18037.0,285.35,True
AnonCreds,4,19,94.06301789967218,91.61375228462231,18037.0,18037.0,285.35,True
AnonCreds,4,20,90.39868860353513,81.83687431918761,18037.0,18037.0,285.35,True
AnonCreds,4,21,90.75622956413898,81.87011623563271,18037.0,18037.0,285.35,True
AnonCreds,4,22,89.36607563464182,88.31682038532051,18037.0,18037.0,285.35,True
AnonCreds,4,23,88.42943684298122,87.37844576333656,18037.0,18037.0,285.35,True
AnonCreds,4,24,84.92907090804471,85.8761963779041,18037.0,18037.0,285.35,True
AnonCreds,4,25,88.86029328184392,80.70859938974277,18037.0,18037.0,285.35,True
AnonCreds,4,26,94.30778695784909,86.96964013574129,18037.0,18037.0,285.35,True
AnonCreds,4,27,92.03719789286374,86.55716411042549,18037.0,18037.0,285.35,True
AnonCreds,4,28,90.8495032107162,82.02842304777664,18037.0,18037.0,285.35,True
AnonCreds,4,29,91.99120765456735,77.3554403483773,18037.0,18037.0,285.35,True
AnonCreds,4,30,92.47379041540688,86.4294713548936,18037.0,18037.0,285.35,True
AnonCreds,4,31,89.3211241266032,86.00690764237712,18037.0,18037.0,285.35,True
AnonCreds,4,32,91.54106225200125,85.27745311823035,18037.0,18037.0,285.35,True
AnonCreds,4,33,87.72237453792944,85.00491905306437,18037.0,18037.0,285.35,True
AnonCreds,4,34,90.39594170582482,86.58528646134253,18037.0,18037.0,285.35,True
AnonCreds,4,35,87.61870169132112,89.11660569729263,18037.0,18037.0,285.35,True
AnonCreds,4,36,94.8221040849973,89.14534675183913,18037.0,18037.0,285.35,True
AnonCreds,4,37,89.75521204012406,84.13547611224901,18037.0,18037.0,285.35,True
AnonCreds,4,38,90.9463798116524,80.31342588448955,18037.0,18037.0,285.35,True
AnonCreds,4,39,89.61197437560836,85.85676584005918,18037.0,18037.0,285.35,True
AnonCreds,4,40,84.47350195933278,86.00899809189207,18037.0,18037.0,285.35,True
AnonCreds,4,41,90.82921829310887,87.82432957162088,18037.0,18037.0,285.35,True
AnonCreds,4,42,84.2382297466821,81.21677307642571,18037.0,18037.0,285.35,True
